name,brand,reviews.text,reviews.rating,review_label
iPhone 12,Apple,Not worth the price.,1,real
iPhone 12,Apple,Software bugs appear frequently.,1,real
iPhone 12,Apple,Phone overheats during gaming.,3,real
iPhone 12,Apple,Camera quality is disappointing.,2,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,5,real
iPhone 12,Apple,Camera quality is disappointing.,2,real
iPhone 12,Apple,Battery drains quickly during normal use.,1,real
iPhone 12,Apple,Camera quality is disappointing.,1,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,5,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Battery drains quickly during normal use.,1,real
iPhone 12,Apple,Software bugs appear frequently.,2,real
iPhone 12,Apple,Performance drops while multitasking.,2,real
iPhone 12,Apple,Premium design and fantastic display.,5,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Not worth the price.,1,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Excellent performance and smooth UI.,5,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,5,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Performance drops while multitasking.,3,real
iPhone 12,Apple,Battery drains quickly during normal use.,1,real
iPhone 12,Apple,Premium design and fantastic display.,4,real
iPhone 12,Apple,Performance drops while multitasking.,3,real
iPhone 12,Apple,Not worth the price.,1,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Phone overheats during gaming.,2,real
iPhone 12,Apple,Battery drains quickly during normal use.,2,real
iPhone 12,Apple,Excellent performance and smooth UI.,5,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,4,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Great value for the price.,5,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Camera quality is disappointing.,1,real
iPhone 12,Apple,Excellent performance and smooth UI.,4,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Phone overheats during gaming.,2,real
iPhone 12,Apple,Premium design and fantastic display.,4,real
iPhone 12,Apple,Premium design and fantastic display.,4,real
iPhone 12,Apple,Excellent performance and smooth UI.,5,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,4,real
iPhone 12,Apple,Not worth the price.,2,real
iPhone 12,Apple,Great value for the price.,4,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Excellent performance and smooth UI.,5,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Not worth the price.,3,real
iPhone 12,Apple,Software bugs appear frequently.,1,real
iPhone 12,Apple,Camera quality is disappointing.,1,real
iPhone 12,Apple,Battery drains quickly during normal use.,3,real
iPhone 12,Apple,Not worth the price.,2,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,5,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Not worth the price.,2,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,4,real
iPhone 12,Apple,Performance drops while multitasking.,3,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Camera quality is disappointing.,2,real
iPhone 12,Apple,Camera quality is disappointing.,2,real
iPhone 12,Apple,Battery easily lasts a full day.,5,real
iPhone 12,Apple,Not worth the price.,2,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,4,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,5,real
iPhone 12,Apple,Not worth the price.,3,real
iPhone 12,Apple,Battery drains quickly during normal use.,3,real
iPhone 12,Apple,Phone overheats during gaming.,2,real
iPhone 12,Apple,Not worth the price.,1,real
iPhone 12,Apple,Phone overheats during gaming.,3,real
iPhone 12,Apple,Battery drains quickly during normal use.,3,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Software bugs appear frequently.,2,real
iPhone 12,Apple,Phone overheats during gaming.,2,real
iPhone 12,Apple,Phone overheats during gaming.,1,real
iPhone 12,Apple,Excellent performance and smooth UI.,4,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,4,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,4,real
iPhone 12,Apple,Very fast phone and perfect for gaming.,4,real
iPhone 12,Apple,Excellent performance and smooth UI.,4,real
iPhone 12,Apple,Great value for the price.,5,real
iPhone 12,Apple,Battery easily lasts a full day.,4,real
iPhone 12,Apple,Battery drains quickly during normal use.,1,real
iPhone 12,Apple,Software bugs appear frequently.,3,real
iPhone 12,Apple,Premium design and fantastic display.,5,real
iPhone 12,Apple,Phone overheats during gaming.,3,real
iPhone 12,Apple,Amazing camera quality and strong battery life.,4,real
